instance_nr,opt,nbh,time,seed,makespan
X24_1,93,api,5000,1,93
X24_1,93,api,5000,2,93
X24_1,93,api,5000,3,93
X24_1,93,api,5000,4,93
X24_1,93,api,5000,5,99
X25_1,82,swap,100,1,85
X25_1,82,swap,100,2,84
X25_1,82,swap,100,3,88
X25_1,82,swap,100,4,86
X25_1,82,swap,100,5,85
X25_1,82,swap,500,1,82
X25_1,82,swap,500,2,82
X25_1,82,swap,500,3,82
X25_1,82,swap,500,4,83
X25_1,82,swap,500,5,82
X25_1,82,swap,1000,1,82
X25_1,82,swap,1000,2,82
X25_1,82,swap,1000,3,82
X25_1,82,swap,1000,4,84
X25_1,82,swap,1000,5,82
X25_1,82,swap,5000,1,82
X25_1,82,swap,5000,2,82
X25_1,82,swap,5000,3,82
X25_1,82,swap,5000,4,82
X25_1,82,swap,5000,5,82
X25_1,82,api,100,1,89
X25_1,82,api,100,2,89
X25_1,82,api,100,3,90
X25_1,82,api,100,4,89
X25_1,82,api,100,5,89
X25_1,82,api,500,1,88
X25_1,82,api,500,2,88
X25_1,82,api,500,3,88
X25_1,82,api,500,4,87
X25_1,82,api,500,5,88
X25_1,82,api,1000,1,88
X25_1,82,api,1000,2,87
X25_1,82,api,1000,3,87
X25_1,82,api,1000,4,86
X25_1,82,api,1000,5,88
X25_1,82,api,5000,1,85
X25_1,82,api,5000,2,84
X25_1,82,api,5000,3,85
X25_1,82,api,5000,4,86
X25_1,82,api,5000,5,85
X26_1,169,swap,100,1,204
X26_1,169,swap,100,2,209
X26_1,169,swap,100,3,206
X26_1,169,swap,100,4,203
X26_1,169,swap,100,5,205
X26_1,169,swap,500,1,198
X26_1,169,swap,500,2,199
X26_1,169,swap,500,3,196
X26_1,169,swap,500,4,202
X26_1,169,swap,500,5,200
X26_1,169,swap,1000,1,194
X26_1,169,swap,1000,2,201
X26_1,169,swap,1000,3,201
X26_1,169,swap,1000,4,196
X26_1,169,swap,1000,5,191
X26_1,169,swap,5000,1,192
X26_1,169,swap,5000,2,194
X26_1,169,swap,5000,3,188
X26_1,169,swap,5000,4,182
X26_1,169,swap,5000,5,188
X26_1,169,api,100,1,213
X26_1,169,api,100,2,214
X26_1,169,api,100,3,212
X26_1,169,api,100,4,214
X26_1,169,api,100,5,208
X26_1,169,api,500,1,203
X26_1,169,api,500,2,204
X26_1,169,api,500,3,203
X26_1,169,api,500,4,207
X26_1,169,api,500,5,203
X26_1,169,api,1000,1,203
X26_1,169,api,1000,2,199
X26_1,169,api,1000,3,204
X26_1,169,api,1000,4,206
X26_1,169,api,1000,5,203
X26_1,169,api,5000,1,197
X26_1,169,api,5000,2,200
X26_1,169,api,5000,3,199
X26_1,169,api,5000,4,204
X26_1,169,api,5000,5,201
X27_1,108,swap,100,1,127
X27_1,108,swap,100,2,124
X27_1,108,swap,100,3,128
X27_1,108,swap,100,4,127
X27_1,108,swap,100,5,128
X27_1,108,swap,500,1,122
X27_1,108,swap,500,2,122
X27_1,108,swap,500,3,124
X27_1,108,swap,500,4,120
X27_1,108,swap,500,5,122
X27_1,108,swap,1000,1,119
X27_1,108,swap,1000,2,118
X27_1,108,swap,1000,3,119
X27_1,108,swap,1000,4,121
X27_1,108,swap,1000,5,120
X27_1,108,swap,5000,1,114
X27_1,108,swap,5000,2,116
X27_1,108,swap,5000,3,117
X27_1,108,swap,5000,4,117
X27_1,108,swap,5000,5,115
X27_1,108,api,100,1,131
X27_1,108,api,100,2,134
X27_1,108,api,100,3,135
X27_1,108,api,100,4,133
X27_1,108,api,100,5,134
X27_1,108,api,500,1,129
X27_1,108,api,500,2,130
X27_1,108,api,500,3,127
X27_1,108,api,500,4,130
X27_1,108,api,500,5,129
X27_1,108,api,1000,1,123
X27_1,108,api,1000,2,128
X27_1,108,api,1000,3,127
X27_1,108,api,1000,4,123
X27_1,108,api,1000,5,127
X27_1,108,api,5000,1,123
X27_1,108,api,5000,2,123
X27_1,108,api,5000,3,125
X27_1,108,api,5000,4,124
X27_1,108,api,5000,5,123
X28_1,108,swap,100,1,127
X28_1,108,swap,100,2,129
X28_1,108,swap,100,3,127
X28_1,108,swap,100,4,126
X28_1,108,swap,100,5,126
X28_1,108,swap,500,1,125
X28_1,108,swap,500,2,122
X28_1,108,swap,500,3,123
X28_1,108,swap,500,4,124
X28_1,108,swap,500,5,122
X28_1,108,swap,1000,1,119
X28_1,108,swap,1000,2,122
X28_1,108,swap,1000,3,118
X28_1,108,swap,1000,4,118
X28_1,108,swap,1000,5,120
X28_1,108,swap,5000,1,114
X28_1,108,swap,5000,2,114
X28_1,108,swap,5000,3,116
X28_1,108,swap,5000,4,116
X28_1,108,swap,5000,5,113
X28_1,108,api,100,1,139
X28_1,108,api,100,2,128
X28_1,108,api,100,3,129
X28_1,108,api,100,4,131
X28_1,108,api,100,5,131
X28_1,108,api,500,1,131
X28_1,108,api,500,2,128
X28_1,108,api,500,3,129
X28_1,108,api,500,4,128
X28_1,108,api,500,5,126
X28_1,108,api,1000,1,130
X28_1,108,api,1000,2,128
X28_1,108,api,1000,3,129
X28_1,108,api,1000,4,127
X28_1,108,api,1000,5,129
X28_1,108,api,5000,1,125
X28_1,108,api,5000,2,123
X28_1,108,api,5000,3,126
X28_1,108,api,5000,4,124
X28_1,108,api,5000,5,126
X29_1,104,swap,100,1,113
X29_1,104,swap,100,2,113
X29_1,104,swap,100,3,110
X29_1,104,swap,100,4,111
X29_1,104,swap,100,5,115
X29_1,104,swap,500,1,105
X29_1,104,swap,500,2,104
X29_1,104,swap,500,3,104
X29_1,104,swap,500,4,107
X29_1,104,swap,500,5,104
X29_1,104,swap,1000,1,104
X29_1,104,swap,1000,2,104
X29_1,104,swap,1000,3,104
X29_1,104,swap,1000,4,104
X29_1,104,swap,1000,5,104
X29_1,104,swap,5000,1,104
X29_1,104,swap,5000,2,104
X29_1,104,swap,5000,3,104
X29_1,104,swap,5000,4,104
X29_1,104,swap,5000,5,104
X29_1,104,api,100,1,116
X29_1,104,api,100,2,117
X29_1,104,api,100,3,114
X29_1,104,api,100,4,115
X29_1,104,api,100,5,117
X29_1,104,api,500,1,114
X29_1,104,api,500,2,113
X29_1,104,api,500,3,112
X29_1,104,api,500,4,113
X29_1,104,api,500,5,113
X29_1,104,api,1000,1,113
X29_1,104,api,1000,2,108
X29_1,104,api,1000,3,109
X29_1,104,api,1000,4,107
X29_1,104,api,1000,5,112
X29_1,104,api,5000,1,104
X29_1,104,api,5000,2,104
X29_1,104,api,5000,3,104
X29_1,104,api,5000,4,107
X29_1,104,api,5000,5,104
X2_1,87,swap,100,1,98
X2_1,87,swap,100,2,100
X2_1,87,swap,100,3,98
X2_1,87,swap,100,4,95
X2_1,87,swap,100,5,98
X2_1,87,swap,500,1,92
X2_1,87,swap,500,2,91
X2_1,87,swap,500,3,94
X2_1,87,swap,500,4,95
X2_1,87,swap,500,5,91
X2_1,87,swap,1000,1,90
X2_1,87,swap,1000,2,89
X2_1,87,swap,1000,3,91
X2_1,87,swap,1000,4,91
X2_1,87,swap,1000,5,92
X2_1,87,swap,5000,1,91
X2_1,87,swap,5000,2,91
X2_1,87,swap,5000,3,91
X2_1,87,swap,5000,4,91
X2_1,87,swap,5000,5,91
X2_1,87,api,100,1,102
X2_1,87,api,100,2,99
X2_1,87,api,100,3,101
X2_1,87,api,100,4,102
X2_1,87,api,100,5,101
X2_1,87,api,500,1,96
